ride_id,ride_date,ride_time,pickup_location,drop_location,ride_type,fare,distance_km,duration_mins
RIDE1000,2025-07-19,01:45:00,Suburb,Mall,UberX,485.66,1.39,39
RIDE1001,2025-07-07,14:45:00,Mall,Uptown,UberX,474.4,10.47,17
RIDE1002,2025-07-02,16:45:00,Central Park,Airport,UberX,199.03,15.45,14
RIDE1003,2025-07-31,23:30:00,Airport,Mall,UberX,144.17,14.02,57
RIDE1004,2025-07-20,11:45:00,Uptown,Tech Park,UberPOOL,101.97,10.73,49
RIDE1005,2025-07-09,14:15:00,Mall,Uptown,UberXL,406.26,14.71,21
RIDE1006,2025-07-05,14:15:00,Suburb,Mall,UberXL,558.89,14.58,34
RIDE1007,2025-07-02,18:00:00,Stadium,Downtown,UberX,171.09,8.09,42
RIDE1008,2025-07-31,09:30:00,Stadium,Tech Park,UberPOOL,320.92,9.25,38
RIDE1009,2025-07-18,14:45:00,Suburb,Airport,UberPOOL,356.57,13.36,38
RIDE1010,2025-07-19,10:15:00,Stadium,Mall,UberX,502.61,10.91,54
RIDE1011,2025-07-02,01:45:00,Mall,Suburb,UberPOOL,259.62,2.72,21
RIDE1012,2025-07-22,02:00:00,Tech Park,Mall,UberPOOL,156.99,16.74,7
RIDE1013,2025-07-31,11:15:00,Downtown,Suburb,UberX,413.14,11.4,50
RIDE1014,2025-07-15,05:15:00,Central Park,Stadium,UberXL,199.47,17.28,24
RIDE1015,2025-07-15,07:30:00,Tech Park,Central Park,UberPOOL,477.32,6.62,53
RIDE1016,2025-07-06,03:30:00,Suburb,Tech Park,UberX,262.76,4.14,26
RIDE1017,2025-07-22,20:15:00,Tech Park,Mall,UberXL,146.73,16.6,13
RIDE1018,2025-07-11,13:15:00,Airport,Central Park,UberPOOL,292.06,18.94,59
RIDE1019,2025-07-02,10:30:00,Stadium,Airport,UberXL,328.15,16.7,18
RIDE1020,2025-07-15,12:15:00,Uptown,Suburb,UberXL,398.69,18.15,34
RIDE1021,2025-07-22,07:30:00,Suburb,Mall,UberXL,395.1,1.75,24
RIDE1022,2025-07-03,05:45:00,Suburb,Stadium,UberX,139.81,6.8,23
RIDE1023,2025-07-14,17:30:00,Uptown,Stadium,UberPOOL,486.92,1.76,28
RIDE1024,2025-07-06,17:45:00,Downtown,Mall,UberX,257.46,13.09,24
RIDE1025,2025-07-28,00:45:00,Downtown,Airport,UberXL,121.55,17.72,46
RIDE1026,2025-07-03,04:00:00,Suburb,Uptown,UberXL,539.05,8.93,38
RIDE1027,2025-07-05,14:45:00,Suburb,Tech Park,UberPOOL,356.73,12.36,19
RIDE1028,2025-07-09,22:45:00,Uptown,Tech Park,UberPOOL,250.44,1.48,21
RIDE1029,2025-07-17,16:15:00,Stadium,Tech Park,UberPOOL,221.04,11.59,36
RIDE1030,2025-07-02,21:15:00,Suburb,Airport,UberX,337.57,6.56,8
RIDE1031,2025-07-31,09:45:00,Stadium,Uptown,UberXL,589.41,7.45,32
RIDE1032,2025-07-29,02:00:00,Downtown,Suburb,UberXL,588.54,9.37,22
RIDE1033,2025-07-06,21:45:00,Tech Park,Stadium,UberPOOL,359.9,11.98,51
RIDE1034,2025-07-13,06:30:00,Tech Park,Airport,UberPOOL,134.05,9.83,48
RIDE1035,2025-07-07,13:15:00,Downtown,Uptown,UberXL,459.3,12.13,7
RIDE1036,2025-07-29,14:45:00,Suburb,Central Park,UberPOOL,275.33,11.7,21
RIDE1037,2025-07-18,06:30:00,Central Park,Airport,UberPOOL,356.17,13.8,13
RIDE1038,2025-07-26,20:00:00,Stadium,Mall,UberPOOL,125.24,7.42,10
RIDE1039,2025-07-14,12:15:00,Downtown,Suburb,UberXL,189.45,17.83,25
RIDE1040,2025-07-26,02:00:00,Central Park,Tech Park,UberXL,209.38,15.3,10
RIDE1041,2025-07-15,13:15:00,Mall,Stadium,UberPOOL,472.3,9.93,37
RIDE1042,2025-07-10,16:45:00,Mall,Stadium,UberXL,173.81,4.5,40
RIDE1043,2025-07-21,10:30:00,Mall,Stadium,UberXL,124.31,5.72,34
RIDE1044,2025-07-28,15:45:00,Downtown,Uptown,UberPOOL,213.39,8.25,55
