ride_id,ride_date,ride_time,pickup_location,drop_location,ride_type,fare,distance_km,duration_mins
RIDE001,2025-07-01,06:00:00,Airport,Tech Park,UberPOOL,369.67,15.59,11
RIDE002,2025-07-02,19:00:00,Downtown,Central Park,UberXL,503.72,17.58,7
RIDE003,2025-07-03,14:00:00,Airport,Stadium,UberXL,548.05,2.38,21
RIDE004,2025-07-04,10:00:00,Uptown,Mall,UberX,259.0,13.78,37
RIDE005,2025-07-05,07:00:00,Uptown,Central Park,UberXL,155.03,7.21,52
RIDE006,2025-07-06,20:00:00,City Center,Stadium,UberX,213.97,16.84,16
RIDE007,2025-07-07,06:00:00,Uptown,Stadium,UberXL,313.55,6.01,55
RIDE008,2025-07-08,18:00:00,City Center,Stadium,UberPOOL,509.01,17.89,26
RIDE009,2025-07-09,22:00:00,Uptown,Central Park,UberXL,530.37,10.89,59
RIDE010,2025-07-10,10:00:00,Downtown,Central Park,UberX,103.48,23.54,26
RIDE011,2025-07-11,10:00:00,Uptown,Central Park,UberX,355.37,5.16,50
RIDE012,2025-07-12,23:00:00,City Center,Tech Park,UberPOOL,308.71,9.84,34
RIDE013,2025-07-13,20:00:00,City Center,Central Park,UberXL,211.05,4.61,42
RIDE014,2025-07-14,03:00:00,Airport,Central Park,UberXL,159.93,23.27,42
RIDE015,2025-07-15,07:00:00,Downtown,Central Park,UberPOOL,268.81,22.18,49
RIDE016,2025-07-16,23:00:00,Uptown,Tech Park,UberXL,571.45,7.93,55
RIDE017,2025-07-17,02:00:00,Airport,Central Park,UberXL,261.6,17.18,58
RIDE018,2025-07-18,21:00:00,Uptown,Stadium,UberX,359.4,20.8,12
RIDE019,2025-07-19,20:00:00,Uptown,Central Park,UberXL,451.51,14.77,31
RIDE020,2025-07-20,01:00:00,Airport,Stadium,UberXL,281.81,14.18,31
RIDE021,2025-07-21,23:00:00,Airport,Stadium,UberPOOL,585.89,7.56,38
RIDE022,2025-07-22,11:00:00,Airport,Stadium,UberPOOL,581.22,4.14,25
RIDE023,2025-07-23,05:00:00,Airport,Tech Park,UberX,225.89,22.64,34
RIDE024,2025-07-24,01:00:00,Airport,Tech Park,UberXL,348.62,22.71,37
RIDE025,2025-07-25,20:00:00,Uptown,Tech Park,UberXL,250.44,16.56,32
RIDE026,2025-07-26,00:00:00,Airport,Central Park,UberXL,242.42,9.8,51
RIDE027,2025-07-27,11:00:00,Downtown,Stadium,UberX,118.44,10.03,37
RIDE028,2025-07-28,21:00:00,City Center,Tech Park,UberX,404.78,18.7,9
RIDE029,2025-07-29,11:00:00,Airport,Tech Park,UberPOOL,351.34,22.63,52
RIDE030,2025-07-30,16:00:00,Airport,Central Park,UberX,125.74,22.4,23
RIDE031,2025-07-31,09:00:00,Uptown,Tech Park,UberXL,239.32,19.94,8
RIDE032,2025-08-01,15:00:00,Airport,Central Park,UberXL,554.13,16.77,39
RIDE033,2025-08-02,14:00:00,Airport,Mall,UberX,219.78,3.94,53
RIDE034,2025-08-03,14:00:00,Airport,Tech Park,UberXL,172.45,5.72,21
RIDE035,2025-08-04,18:00:00,Uptown,Mall,UberXL,344.73,22.67,48
RIDE036,2025-08-05,11:00:00,Airport,Central Park,UberX,592.83,15.95,32
RIDE037,2025-08-06,22:00:00,City Center,Stadium,UberX,221.03,2.21,34
RIDE038,2025-08-07,19:00:00,Uptown,Tech Park,UberXL,436.07,4.33,33
RIDE039,2025-08-08,02:00:00,City Center,Central Park,UberXL,480.81,17.26,50
RIDE040,2025-08-09,04:00:00,Uptown,Stadium,UberXL,218.82,2.12,57
RIDE041,2025-08-10,18:00:00,Airport,Stadium,UberPOOL,464.11,5.7,10
RIDE042,2025-08-11,06:00:00,City Center,Mall,UberPOOL,283.89,14.62,39
RIDE043,2025-08-12,20:00:00,Uptown,Central Park,UberPOOL,416.15,17.91,45
RIDE044,2025-08-13,08:00:00,Downtown,Stadium,UberX,416.76,17.0,41
RIDE045,2025-08-14,06:00:00,Airport,Tech Park,UberPOOL,367.89,7.16,28
RIDE046,2025-08-15,17:00:00,Uptown,Tech Park,UberX,145.14,18.38,33
RIDE047,2025-08-16,03:00:00,Downtown,Mall,UberX,517.65,7.46,53
RIDE048,2025-08-17,13:00:00,Uptown,Stadium,UberPOOL,260.39,9.48,50
RIDE049,2025-08-18,17:00:00,Downtown,Central Park,UberPOOL,193.26,19.17,57
RIDE050,2025-08-19,08:00:00,Airport,Tech Park,UberPOOL,120.39,16.94,35
