ride_id,ride_date,ride_time,pickup_location,drop_location,ride_type,fare,distance_km,duration_mins
RIDE1000,2025-07-09,09:15:00,Stadium,Uptown,UberX,488.85,5.51,50
RIDE1001,2025-07-28,07:15:00,Tech Park,Airport,UberPOOL,582.87,19.48,29
RIDE1002,2025-07-28,06:30:00,Airport,Mall,UberX,404.52,15.74,40
RIDE1003,2025-07-27,21:00:00,Mall,Suburb,UberX,461.01,1.67,21
RIDE1004,2025-07-03,08:45:00,Uptown,Downtown,UberXL,129.26,17.28,25
RIDE1005,2025-07-12,07:45:00,Uptown,Central Park,UberXL,439.92,5.87,24
RIDE1006,2025-07-29,13:30:00,Downtown,Stadium,UberPOOL,104.71,7.81,57
RIDE1007,2025-07-26,20:30:00,Suburb,Mall,UberPOOL,208.95,7.07,55
RIDE1008,2025-07-24,04:45:00,Suburb,Mall,UberX,115.95,2.24,39
RIDE1009,2025-07-10,06:15:00,Central Park,Tech Park,UberXL,536.91,1.17,46
RIDE1010,2025-07-15,08:30:00,Uptown,Downtown,UberPOOL,506.42,2.44,41
RIDE1011,2025-07-16,17:15:00,Stadium,Downtown,UberPOOL,354.63,10.12,57
RIDE1012,2025-07-12,04:00:00,Uptown,Central Park,UberPOOL,100.01,5.69,44
RIDE1013,2025-07-31,14:45:00,Airport,Uptown,UberXL,262.29,6.26,43
RIDE1014,2025-07-30,01:15:00,Tech Park,Mall,UberPOOL,559.28,5.65,30
RIDE1015,2025-07-27,14:30:00,Tech Park,Uptown,UberXL,226.5,8.21,38
RIDE1016,2025-07-24,08:30:00,Stadium,Uptown,UberPOOL,486.19,2.29,42
RIDE1017,2025-07-12,16:15:00,Stadium,Uptown,UberXL,374.13,3.62,10
RIDE1018,2025-07-07,19:00:00,Airport,Stadium,UberPOOL,222.78,3.88,55
RIDE1019,2025-07-24,18:30:00,Tech Park,Stadium,UberX,440.05,5.52,36
RIDE1020,2025-07-06,21:00:00,Stadium,Downtown,UberX,378.32,2.38,51
RIDE1021,2025-07-14,20:00:00,Suburb,Uptown,UberXL,302.66,3.75,15
RIDE1022,2025-07-21,02:00:00,Tech Park,Stadium,UberX,345.32,14.53,59
RIDE1023,2025-07-14,09:30:00,Downtown,Mall,UberPOOL,537.39,10.48,10
RIDE1024,2025-07-12,01:00:00,Central Park,Tech Park,UberX,556.61,7.93,17
RIDE1025,2025-07-16,17:45:00,Stadium,Uptown,UberX,536.22,3.59,18
RIDE1026,2025-07-10,01:45:00,Tech Park,Uptown,UberX,397.7,11.71,57
RIDE1027,2025-07-09,13:15:00,Mall,Stadium,UberPOOL,326.62,3.45,46
RIDE1028,2025-07-08,11:15:00,Mall,Stadium,UberX,200.82,4.34,29
RIDE1029,2025-07-21,11:45:00,Airport,Stadium,UberXL,270.13,19.38,12
RIDE1030,2025-07-15,02:00:00,Airport,Central Park,UberX,522.28,13.72,11
RIDE1031,2025-07-21,09:15:00,Suburb,Stadium,UberPOOL,144.13,19.36,15
RIDE1032,2025-07-13,10:00:00,Mall,Central Park,UberXL,140.95,6.12,40
RIDE1033,2025-07-31,04:15:00,Airport,Downtown,UberXL,373.39,14.24,57
RIDE1034,2025-07-27,05:15:00,Mall,Tech Park,UberPOOL,238.86,5.44,51
RIDE1035,2025-07-13,09:00:00,Central Park,Downtown,UberX,212.11,14.09,13
RIDE1036,2025-07-12,15:45:00,Uptown,Airport,UberXL,201.8,2.28,46
RIDE1037,2025-07-18,09:15:00,Airport,Stadium,UberX,190.04,3.36,17
RIDE1038,2025-07-29,17:15:00,Airport,Tech Park,UberPOOL,239.73,1.64,18
RIDE1039,2025-07-05,02:45:00,Central Park,Airport,UberXL,434.43,15.44,17
