ride_id,ride_date,ride_time,pickup_location,drop_location,ride_type,fare,distance_km,duration_mins
RIDE1000,2025-07-16,08:30:00,Tech Park,Mall,UberX,177.08,15.06,19
RIDE1001,2025-07-12,15:30:00,Suburb,Central Park,UberPOOL,366.87,1.28,55
RIDE1002,2025-07-08,17:00:00,Tech Park,Mall,UberXL,550.36,1.64,57
RIDE1003,2025-07-06,10:15:00,Airport,Central Park,UberX,168.6,6.39,38
RIDE1004,2025-07-03,16:30:00,Uptown,Suburb,UberX,572.11,17.2,5
RIDE1005,2025-07-01,01:15:00,Downtown,Mall,UberXL,360.61,11.49,31
RIDE1006,2025-07-04,21:45:00,Tech Park,Central Park,UberXL,484.07,4.05,47
RIDE1007,2025-07-29,19:15:00,Airport,Central Park,UberX,110.4,3.57,11
RIDE1008,2025-07-17,02:45:00,Uptown,Central Park,UberPOOL,254.95,13.76,30
RIDE1009,2025-07-16,15:45:00,Airport,Uptown,UberPOOL,508.08,6.5,45
RIDE1010,2025-07-03,06:30:00,Central Park,Tech Park,UberPOOL,451.31,7.22,23
RIDE1011,2025-07-13,21:30:00,Downtown,Stadium,UberX,589.03,12.87,57
RIDE1012,2025-07-11,11:30:00,Tech Park,Airport,UberXL,483.74,16.68,27
RIDE1013,2025-07-27,13:00:00,Airport,Tech Park,UberPOOL,325.65,8.61,59
RIDE1014,2025-07-14,01:45:00,Stadium,Suburb,UberPOOL,188.78,19.29,28
RIDE1015,2025-07-04,17:15:00,Tech Park,Airport,UberPOOL,312.03,9.8,25
RIDE1016,2025-07-09,01:45:00,Mall,Stadium,UberXL,332.75,1.67,9
RIDE1017,2025-07-20,20:00:00,Suburb,Tech Park,UberX,466.26,13.09,6
RIDE1018,2025-07-11,09:45:00,Suburb,Central Park,UberXL,250.09,5.2,8
RIDE1019,2025-07-08,05:45:00,Central Park,Downtown,UberX,361.62,8.91,7
RIDE1020,2025-07-25,23:15:00,Airport,Stadium,UberXL,386.2,16.27,11
RIDE1021,2025-07-06,07:00:00,Airport,Tech Park,UberPOOL,238.56,13.19,32
RIDE1022,2025-07-04,11:15:00,Airport,Stadium,UberPOOL,353.28,9.77,54
RIDE1023,2025-07-27,08:00:00,Stadium,Suburb,UberPOOL,402.89,12.46,29
RIDE1024,2025-07-17,15:45:00,Central Park,Tech Park,UberPOOL,340.02,17.88,16
RIDE1025,2025-07-31,14:15:00,Suburb,Tech Park,UberPOOL,572.29,2.4,37
RIDE1026,2025-07-28,01:30:00,Central Park,Suburb,UberPOOL,115.58,13.64,40
RIDE1027,2025-07-21,22:45:00,Stadium,Uptown,UberXL,531.23,18.89,29
RIDE1028,2025-07-17,08:00:00,Airport,Uptown,UberX,434.98,18.56,39
RIDE1029,2025-07-05,17:30:00,Uptown,Downtown,UberX,261.29,7.07,21
RIDE1030,2025-07-07,13:45:00,Airport,Central Park,UberPOOL,578.71,8.71,57
RIDE1031,2025-07-20,23:30:00,Airport,Mall,UberXL,528.6,14.09,5
RIDE1032,2025-07-19,02:45:00,Stadium,Central Park,UberPOOL,550.05,18.48,5
RIDE1033,2025-07-12,11:45:00,Tech Park,Airport,UberPOOL,421.46,8.32,37
RIDE1034,2025-07-23,04:00:00,Airport,Downtown,UberXL,405.4,12.39,22
RIDE1035,2025-07-18,06:45:00,Downtown,Uptown,UberXL,134.94,16.21,55
RIDE1036,2025-07-07,09:30:00,Suburb,Mall,UberPOOL,197.34,5.0,25
RIDE1037,2025-07-04,06:45:00,Stadium,Airport,UberXL,301.42,17.82,16
RIDE1038,2025-07-12,10:00:00,Central Park,Downtown,UberPOOL,309.51,13.31,33
RIDE1039,2025-07-03,23:30:00,Mall,Uptown,UberX,266.92,15.79,12
RIDE1040,2025-07-25,21:45:00,Central Park,Downtown,UberX,195.86,8.65,48
RIDE1041,2025-07-07,15:45:00,Suburb,Downtown,UberX,226.9,3.08,56
RIDE1042,2025-07-22,19:30:00,Suburb,Downtown,UberXL,163.19,12.5,20
RIDE1043,2025-07-04,07:00:00,Central Park,Tech Park,UberXL,413.26,13.53,8
RIDE1044,2025-07-28,06:45:00,Mall,Downtown,UberPOOL,277.72,7.36,14
RIDE1045,2025-07-30,04:30:00,Tech Park,Central Park,UberXL,104.0,1.2,37
RIDE1046,2025-07-13,19:15:00,Suburb,Stadium,UberX,142.32,7.0,58
RIDE1047,2025-07-27,07:45:00,Uptown,Mall,UberPOOL,536.79,18.34,14
RIDE1048,2025-07-15,21:00:00,Downtown,Central Park,UberPOOL,258.4,5.59,32
RIDE1049,2025-07-22,09:30:00,Airport,Stadium,UberXL,371.97,8.7,45
RIDE1050,2025-07-29,11:30:00,Tech Park,Downtown,UberXL,421.87,13.53,13
RIDE1051,2025-07-08,17:15:00,Mall,Stadium,UberX,473.29,13.19,21
RIDE1052,2025-07-14,11:30:00,Uptown,Central Park,UberPOOL,287.91,19.78,23
RIDE1053,2025-07-10,12:30:00,Tech Park,Downtown,UberXL,271.72,12.66,39
RIDE1054,2025-07-21,01:45:00,Uptown,Stadium,UberPOOL,106.68,11.91,47
RIDE1055,2025-07-22,08:30:00,Uptown,Suburb,UberXL,574.94,14.36,11
RIDE1056,2025-07-16,12:45:00,Tech Park,Downtown,UberX,223.3,8.96,39
RIDE1057,2025-07-27,08:00:00,Mall,Central Park,UberX,147.74,8.42,22
RIDE1058,2025-07-28,20:30:00,Mall,Suburb,UberX,585.66,19.41,45
RIDE1059,2025-07-28,09:15:00,Airport,Central Park,UberXL,358.84,4.13,57
RIDE1060,2025-07-02,00:15:00,Stadium,Downtown,UberX,560.91,17.77,7
RIDE1061,2025-07-23,09:15:00,Tech Park,Suburb,UberXL,487.47,3.01,54
RIDE1062,2025-07-18,00:00:00,Central Park,Uptown,UberXL,393.94,19.77,28
RIDE1063,2025-07-18,06:45:00,Downtown,Central Park,UberX,414.92,15.75,19
RIDE1064,2025-07-21,04:45:00,Suburb,Central Park,UberXL,419.46,16.71,33
RIDE1065,2025-07-15,11:45:00,Uptown,Mall,UberX,312.24,11.09,57
RIDE1066,2025-07-23,08:00:00,Tech Park,Mall,UberXL,599.64,13.75,48
RIDE1067,2025-07-23,03:45:00,Uptown,Mall,UberXL,590.79,3.69,6
RIDE1068,2025-07-25,02:15:00,Central Park,Airport,UberX,473.22,12.72,10
RIDE1069,2025-07-04,13:00:00,Airport,Suburb,UberX,360.95,10.64,20
RIDE1070,2025-07-30,07:00:00,Downtown,Uptown,UberPOOL,224.22,4.43,37
RIDE1071,2025-07-19,19:00:00,Stadium,Central Park,UberXL,176.96,14.52,52
RIDE1072,2025-07-21,06:45:00,Central Park,Stadium,UberPOOL,443.22,6.04,26
RIDE1073,2025-07-18,10:15:00,Uptown,Airport,UberPOOL,356.51,7.54,35
RIDE1074,2025-07-20,10:00:00,Central Park,Downtown,UberXL,443.06,6.69,16
RIDE1075,2025-07-04,15:15:00,Mall,Airport,UberX,494.15,15.74,7
RIDE1076,2025-07-08,03:45:00,Uptown,Central Park,UberXL,422.74,3.44,35
RIDE1077,2025-07-27,12:30:00,Central Park,Mall,UberXL,245.76,16.69,10
RIDE1078,2025-07-25,15:30:00,Stadium,Central Park,UberPOOL,548.76,7.5,12
RIDE1079,2025-07-18,19:30:00,Downtown,Tech Park,UberXL,328.79,2.6,45
RIDE1080,2025-07-13,08:15:00,Suburb,Central Park,UberXL,281.87,7.34,10
RIDE1081,2025-07-09,10:45:00,Downtown,Airport,UberPOOL,193.07,10.87,11
RIDE1082,2025-07-19,20:45:00,Tech Park,Stadium,UberPOOL,341.96,18.7,26
RIDE1083,2025-07-05,19:30:00,Uptown,Tech Park,UberXL,190.2,16.3,41
RIDE1084,2025-07-12,11:30:00,Suburb,Airport,UberX,406.72,3.35,24
RIDE1085,2025-07-20,12:15:00,Central Park,Mall,UberXL,336.55,8.19,17
RIDE1086,2025-07-20,11:15:00,Mall,Tech Park,UberXL,213.44,3.71,45
RIDE1087,2025-07-22,20:45:00,Airport,Central Park,UberXL,161.51,7.08,26
RIDE1088,2025-07-21,17:00:00,Downtown,Suburb,UberXL,118.97,3.95,14
RIDE1089,2025-07-06,15:00:00,Mall,Downtown,UberXL,485.16,5.54,46
RIDE1090,2025-07-08,09:00:00,Stadium,Downtown,UberX,273.75,13.56,41
RIDE1091,2025-07-09,20:00:00,Stadium,Central Park,UberX,216.49,9.0,42
RIDE1092,2025-07-16,23:30:00,Suburb,Downtown,UberXL,402.67,12.56,7
RIDE1093,2025-07-13,14:45:00,Uptown,Tech Park,UberXL,552.72,17.89,14
RIDE1094,2025-07-23,06:15:00,Suburb,Mall,UberPOOL,293.95,18.25,29
RIDE1095,2025-07-22,22:30:00,Central Park,Stadium,UberXL,316.65,14.48,13
RIDE1096,2025-07-05,00:00:00,Mall,Stadium,UberPOOL,531.88,1.26,9
RIDE1097,2025-07-31,09:45:00,Tech Park,Uptown,UberPOOL,287.96,5.74,33
