ride_id,ride_date,ride_time,pickup_location,drop_location,ride_type,fare,distance_km,duration_mins
RIDE1000,2025-07-04,19:15:00,Mall,Uptown,UberXL,356.97,15.69,52
RIDE1001,2025-07-10,23:00:00,Suburb,Tech Park,UberXL,104.02,6.88,57
RIDE1002,2025-07-22,12:45:00,Downtown,Stadium,UberX,356.56,7.05,34
RIDE1003,2025-07-28,10:30:00,Mall,Tech Park,UberPOOL,210.63,16.32,23
RIDE1004,2025-07-21,16:15:00,Tech Park,Central Park,UberPOOL,369.44,1.11,42
RIDE1005,2025-07-22,08:15:00,Airport,Uptown,UberX,205.01,18.72,25
RIDE1006,2025-07-04,19:30:00,Airport,Downtown,UberXL,476.21,15.5,52
RIDE1007,2025-07-07,12:45:00,Suburb,Mall,UberX,155.06,6.7,31
RIDE1008,2025-07-28,20:00:00,Central Park,Downtown,UberX,436.47,5.89,43
RIDE1009,2025-07-24,15:15:00,Mall,Stadium,UberPOOL,428.5,4.46,22
RIDE1010,2025-07-07,15:30:00,Mall,Airport,UberX,543.77,2.58,46
RIDE1011,2025-07-27,02:30:00,Mall,Airport,UberX,131.18,14.9,45
RIDE1012,2025-07-06,23:45:00,Downtown,Uptown,UberPOOL,303.96,19.84,29
RIDE1013,2025-07-19,02:45:00,Suburb,Central Park,UberX,194.94,7.68,44
RIDE1014,2025-07-18,12:45:00,Mall,Stadium,UberXL,278.72,1.98,22
RIDE1015,2025-07-14,13:00:00,Mall,Stadium,UberXL,599.4,6.47,30
RIDE1016,2025-07-08,14:45:00,Downtown,Central Park,UberX,467.63,18.93,14
RIDE1017,2025-07-16,22:30:00,Suburb,Airport,UberPOOL,206.21,3.52,16
RIDE1018,2025-07-13,13:00:00,Central Park,Uptown,UberPOOL,597.84,5.69,11
RIDE1019,2025-07-12,15:30:00,Central Park,Tech Park,UberPOOL,351.16,9.67,45
RIDE1020,2025-07-07,01:45:00,Mall,Airport,UberXL,410.47,12.8,13
RIDE1021,2025-07-04,01:15:00,Mall,Airport,UberX,369.14,3.29,13
RIDE1022,2025-07-19,16:30:00,Central Park,Tech Park,UberX,325.09,9.15,45
RIDE1023,2025-07-02,04:15:00,Airport,Tech Park,UberXL,136.79,6.3,14
RIDE1024,2025-07-28,16:30:00,Tech Park,Downtown,UberX,354.04,12.01,40
RIDE1025,2025-07-20,21:30:00,Mall,Uptown,UberXL,207.01,8.93,30
RIDE1026,2025-07-02,17:15:00,Stadium,Tech Park,UberXL,141.53,11.84,17
RIDE1027,2025-07-13,07:45:00,Central Park,Stadium,UberPOOL,117.86,19.33,9
RIDE1028,2025-07-02,07:45:00,Suburb,Uptown,UberXL,465.24,10.55,10
RIDE1029,2025-07-03,08:00:00,Tech Park,Downtown,UberX,361.97,9.25,35
RIDE1030,2025-07-23,04:15:00,Mall,Stadium,UberXL,567.5,19.91,41
RIDE1031,2025-07-05,17:45:00,Airport,Suburb,UberX,277.07,9.34,47
RIDE1032,2025-07-09,22:30:00,Uptown,Stadium,UberX,414.35,2.86,40
RIDE1033,2025-07-15,07:00:00,Tech Park,Suburb,UberPOOL,584.31,5.5,26
RIDE1034,2025-07-06,04:00:00,Stadium,Uptown,UberPOOL,141.33,16.65,20
RIDE1035,2025-07-27,11:00:00,Uptown,Stadium,UberXL,182.0,4.1,20
RIDE1036,2025-07-31,15:30:00,Downtown,Suburb,UberXL,103.53,15.23,51
RIDE1037,2025-07-02,21:00:00,Downtown,Mall,UberX,562.85,6.74,31
RIDE1038,2025-07-28,01:15:00,Downtown,Airport,UberPOOL,470.16,13.36,19
RIDE1039,2025-07-10,01:15:00,Uptown,Mall,UberX,294.64,18.2,45
RIDE1040,2025-07-01,14:45:00,Suburb,Central Park,UberPOOL,138.12,4.92,53
RIDE1041,2025-07-01,09:00:00,Mall,Downtown,UberXL,306.35,4.89,24
RIDE1042,2025-07-22,18:00:00,Stadium,Uptown,UberX,306.1,15.35,12
RIDE1043,2025-07-30,11:00:00,Downtown,Mall,UberXL,527.41,8.22,31
RIDE1044,2025-07-15,09:30:00,Central Park,Airport,UberXL,165.08,6.17,57
RIDE1045,2025-07-05,09:30:00,Stadium,Central Park,UberPOOL,337.18,3.9,35
RIDE1046,2025-07-27,14:00:00,Downtown,Mall,UberXL,410.33,17.13,28
RIDE1047,2025-07-19,12:45:00,Mall,Uptown,UberXL,579.04,4.72,33
RIDE1048,2025-07-07,00:45:00,Suburb,Downtown,UberXL,300.8,6.3,38
RIDE1049,2025-07-27,16:00:00,Stadium,Suburb,UberX,139.84,10.41,31
RIDE1050,2025-07-07,08:00:00,Stadium,Suburb,UberX,467.9,6.58,16
RIDE1051,2025-07-15,21:00:00,Airport,Tech Park,UberPOOL,202.79,19.66,29
RIDE1052,2025-07-26,21:30:00,Uptown,Stadium,UberX,579.34,18.03,29
RIDE1053,2025-07-29,23:00:00,Downtown,Uptown,UberPOOL,304.98,13.56,56
RIDE1054,2025-07-06,22:30:00,Suburb,Central Park,UberX,502.27,10.02,32
RIDE1055,2025-07-13,03:30:00,Suburb,Downtown,UberPOOL,227.7,12.54,8
RIDE1056,2025-07-12,10:45:00,Mall,Airport,UberX,385.74,2.74,33
RIDE1057,2025-07-20,20:45:00,Tech Park,Suburb,UberXL,398.83,15.68,33
RIDE1058,2025-07-16,09:00:00,Tech Park,Airport,UberPOOL,419.64,11.27,19
RIDE1059,2025-07-01,21:30:00,Suburb,Tech Park,UberPOOL,255.49,9.42,25
RIDE1060,2025-07-10,11:15:00,Tech Park,Suburb,UberX,383.66,8.84,57
RIDE1061,2025-07-07,16:00:00,Tech Park,Central Park,UberX,398.34,10.01,59
RIDE1062,2025-07-29,09:45:00,Suburb,Uptown,UberPOOL,212.7,9.63,28
RIDE1063,2025-07-26,11:15:00,Central Park,Downtown,UberPOOL,480.28,11.86,42
RIDE1064,2025-07-21,11:30:00,Uptown,Airport,UberX,305.99,5.13,13
RIDE1065,2025-07-02,09:30:00,Tech Park,Stadium,UberX,227.35,8.52,8
RIDE1066,2025-07-26,06:00:00,Stadium,Mall,UberXL,500.02,2.31,7
RIDE1067,2025-07-20,14:00:00,Uptown,Suburb,UberX,199.65,5.22,19
RIDE1068,2025-07-15,19:00:00,Stadium,Airport,UberPOOL,107.25,8.32,42
RIDE1069,2025-07-18,06:45:00,Stadium,Central Park,UberX,149.17,14.19,10
RIDE1070,2025-07-05,11:45:00,Downtown,Airport,UberPOOL,539.92,9.51,36
RIDE1071,2025-07-31,02:15:00,Stadium,Airport,UberX,310.86,16.26,23
RIDE1072,2025-07-16,17:45:00,Central Park,Stadium,UberPOOL,263.02,3.18,49
RIDE1073,2025-07-03,20:30:00,Downtown,Central Park,UberXL,150.22,2.82,43
RIDE1074,2025-07-28,08:15:00,Suburb,Stadium,UberPOOL,569.24,2.87,21
RIDE1075,2025-07-25,03:30:00,Airport,Central Park,UberXL,165.09,8.56,36
RIDE1076,2025-07-11,00:00:00,Uptown,Downtown,UberX,514.91,9.14,47
RIDE1077,2025-07-18,03:30:00,Tech Park,Stadium,UberXL,298.66,9.92,29
RIDE1078,2025-07-02,05:00:00,Uptown,Central Park,UberXL,217.14,7.06,58
